t,ax,ay,az
24.476190476190478,-9.75,-3.0,-29.75
24.485714285714288,-10.0,-3.25,-29.5
24.495238095238097,-9.75,-3.0,-29.75
24.504761904761907,-10.0,-3.25,-29.75
24.514285714285716,-9.75,-3.25,-29.75
24.523809523809526,-9.75,-2.75,-29.5
24.533333333333335,-9.75,-3.0,-29.75
24.542857142857144,-9.75,-3.0,-29.5
24.552380952380954,-10.0,-3.5,-29.75
24.561904761904763,-10.0,-3.25,-29.75
24.571428571428573,-10.0,-3.0,-29.5
24.580952380952382,-10.0,-3.0,-29.75
24.590476190476192,-9.75,-3.25,-29.75
24.6,-9.75,-3.0,-29.75
24.60952380952381,-9.5,-3.0,-29.75
24.61904761904762,-10.0,-3.25,-30.0
24.62857142857143,-9.75,-3.25,-29.75
24.63809523809524,-10.0,-3.0,-29.5
24.64761904761905,-9.75,-3.0,-29.5
24.65714285714286,-9.75,-3.25,-30.0
24.666666666666668,-9.75,-2.75,-29.5
24.676190476190477,-9.5,-3.0,-29.75
24.685714285714287,-9.5,-2.75,-29.5
24.695238095238096,-10.0,-3.25,-29.25
24.704761904761906,-9.75,-2.75,-29.75
24.714285714285715,-10.0,-3.0,-29.5
24.723809523809525,-9.75,-2.75,-29.5
24.733333333333334,-9.75,-2.5,-29.25
24.742857142857144,-9.5,-2.5,-29.75
24.752380952380953,-10.0,-2.75,-29.25
24.761904761904763,-9.5,-3.0,-29.25
24.771428571428572,-9.75,-3.0,-29.5
24.78095238095238,-10.0,-3.0,-29.75
24.79047619047619,-9.75,-2.5,-29.25
24.8,-10.0,-2.25,-29.0
24.80952380952381,-9.75,-2.25,-29.25
24.81904761904762,-10.0,-2.5,-29.0
24.82857142857143,-9.5,-2.5,-29.0
24.83809523809524,-10.25,-2.5,-29.25
24.847619047619048,-9.5,-2.5,-29.5
24.857142857142858,-9.75,-2.5,-29.5
24.866666666666667,-9.75,-2.5,-29.5
24.87619047619048,-9.75,-2.5,-29.5
