# Atlas_v1.0 (Up to date)
# 1159 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,4 m/s):  "main"
#
# Tempo (s),Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
11.421,2.61e4,15.644,0.081,182.921
11.471,2.61e4,15.644,0.081,182.921
11.521,2.61e4,15.644,0.081,182.921
11.571,2.61e4,15.644,0.081,182.921
11.621,2.61e4,15.644,0.081,182.921
11.671,2.61e4,15.644,0.081,182.921
11.721,2.61e4,15.644,0.081,182.921
11.771,2.61e4,15.644,0.081,182.921
11.821,2.61e4,15.644,0.081,182.921
11.871,2.61e4,15.644,0.081,182.921
11.921,2.61e4,15.644,0.081,182.921
11.971,2.61e4,15.644,0.081,182.921
12.021,2.61e4,15.644,0.081,182.921
12.071,2.61e4,15.644,0.081,182.921
12.121,2.61e4,15.644,0.081,182.921
12.171,2.61e4,15.644,0.081,182.921
12.221,2.61e4,15.644,0.081,182.921
12.271,2.61e4,15.644,0.081,182.921
12.321,2.61e4,15.644,0.081,182.921
12.371,2.61e4,15.644,0.081,182.921
12.421,2.61e4,15.644,0.081,182.921
12.471,2.61e4,15.644,0.081,182.921
12.521,2.61e4,15.644,0.081,182.921
12.571,2.61e4,15.644,0.081,182.921
12.621,2.61e4,15.644,0.081,182.921
12.671,2.61e4,15.644,0.081,182.921
12.721,2.61e4,15.644,0.081,182.921
12.771,2.61e4,15.644,0.081,182.921
12.821,2.61e4,15.644,0.081,182.921
12.871,2.61e4,15.644,0.081,182.921
12.921,2.61e4,15.644,0.081,182.921
12.971,2.61e4,15.644,0.081,182.921
13.021,2.61e4,15.644,0.081,182.921
13.071,2.61e4,15.644,0.081,182.921
13.121,2.61e4,15.644,0.081,182.921
13.171,2.61e4,15.644,0.081,182.921
13.221,2.61e4,15.644,0.081,182.921
13.271,2.61e4,15.644,0.081,182.921
13.321,2.61e4,15.644,0.081,182.921
13.371,2.61e4,15.644,0.081,182.921
13.421,2.61e4,15.644,0.081,182.921
13.471,2.61e4,15.644,0.081,182.921
13.521,2.61e4,15.644,0.081,182.921
13.571,2.61e4,15.644,0.081,182.921
13.621,2.61e4,15.644,0.081,182.921
13.671,2.61e4,15.644,0.081,182.921
13.721,2.61e4,15.644,0.081,182.921
13.771,2.61e4,15.644,0.081,182.921
13.821,2.61e4,15.644,0.081,182.921
13.871,2.61e4,15.644,0.081,182.921
13.921,2.61e4,15.644,0.081,182.921
13.971,2.61e4,15.644,0.081,182.921
14.021,2.61e4,15.644,0.081,182.921
14.071,2.61e4,15.644,0.081,182.921
14.121,2.61e4,15.644,0.081,182.921
14.171,2.61e4,15.644,0.081,182.921
14.221,2.61e4,15.644,0.081,182.921
14.271,2.61e4,15.644,0.081,182.921
14.321,2.61e4,15.644,0.081,182.921
14.371,2.61e4,15.644,0.081,182.921
14.421,2.61e4,15.644,0.081,182.921
14.471,2.61e4,15.644,0.081,182.921
14.521,2.61e4,15.644,0.081,182.921
14.571,2.61e4,15.644,0.081,182.921
14.621,2.61e4,15.644,0.081,182.921
14.671,2.61e4,15.644,0.081,182.921
14.721,2.61e4,15.644,0.081,182.921
14.771,2.61e4,15.644,0.081,182.921
14.821,2.61e4,15.644,0.081,182.921
14.871,2.61e4,15.644,0.081,182.921
14.921,2.61e4,15.644,0.081,182.921
14.971,2.61e4,15.644,0.081,182.921
15.021,2.61e4,15.644,0.081,182.921
15.071,2.61e4,15.644,0.081,182.921
15.121,2.61e4,15.644,0.081,182.921
15.171,2.61e4,15.644,0.081,182.921
15.221,2.61e4,15.644,0.081,182.921
15.271,2.61e4,15.644,0.081,182.921
15.321,2.61e4,15.644,0.081,182.921
15.371,2.61e4,15.644,0.081,182.921
15.421,2.61e4,15.644,0.081,182.921
15.471,2.61e4,15.644,0.081,182.921
15.521,2.61e4,15.644,0.081,182.921
15.571,2.61e4,15.644,0.081,182.921
15.621,2.61e4,15.644,0.081,182.921
15.671,2.61e4,15.644,0.081,182.921
15.721,2.61e4,15.644,0.081,182.921
15.771,2.61e4,15.644,0.081,182.921
15.821,2.61e4,15.644,0.081,182.921
15.871,2.61e4,15.644,0.081,182.921
15.921,2.61e4,15.644,0.081,182.921
15.971,2.61e4,15.644,0.081,182.921
16.021,2.61e4,15.644,0.081,182.921
16.071,2.61e4,15.644,0.081,182.921
16.121,2.61e4,15.644,0.081,182.921
16.171,2.61e4,15.644,0.081,182.921
16.221,2.61e4,15.644,0.081,182.921
16.271,2.61e4,15.644,0.081,182.921
16.321,2.61e4,15.644,0.081,182.921
16.371,2.61e4,15.644,0.081,182.921
16.421,2.61e4,15.644,0.081,182.921
16.471,2.61e4,15.644,0.081,182.921
16.521,2.61e4,15.644,0.081,182.921
16.571,2.61e4,15.644,0.081,182.921
16.621,2.61e4,15.644,0.081,182.921
16.671,2.61e4,15.644,0.081,182.921
16.721,2.61e4,15.644,0.081,182.921
16.771,2.61e4,15.644,0.081,182.921
16.821,2.61e4,15.644,0.081,182.921
16.871,2.61e4,15.644,0.081,182.921
16.921,2.61e4,15.644,0.081,182.921
16.971,2.61e4,15.644,0.081,182.921
17.021,2.61e4,15.644,0.081,182.921
17.071,2.61e4,15.644,0.081,182.921
17.121,2.61e4,15.644,0.081,182.921
17.171,2.61e4,15.644,0.081,182.921
17.221,2.61e4,15.644,0.081,182.921
17.271,2.61e4,15.644,0.081,182.921
17.321,2.61e4,15.644,0.081,182.921
17.371,2.61e4,15.644,0.081,182.921
17.421,2.61e4,15.644,0.081,182.921
17.471,2.61e4,15.644,0.081,182.921
17.521,2.61e4,15.644,0.081,182.921
17.571,2.61e4,15.644,0.081,182.921
17.621,2.61e4,15.644,0.081,182.921
17.671,2.61e4,15.644,0.081,182.921
17.721,2.61e4,15.644,0.081,182.921
17.771,2.61e4,15.644,0.081,182.921
17.821,2.61e4,15.644,0.081,182.921
17.871,2.61e4,15.644,0.081,182.921
17.921,2.61e4,15.644,0.081,182.921
17.971,2.61e4,15.644,0.081,182.921
18.021,2.61e4,15.644,0.081,182.921
18.071,2.61e4,15.644,0.081,182.921
18.121,2.61e4,15.644,0.081,182.921
18.171,2.61e4,15.644,0.081,182.921
18.221,2.61e4,15.644,0.081,182.921
18.271,2.61e4,15.644,0.081,182.921
18.321,2.61e4,15.644,0.081,182.921
18.371,2.61e4,15.644,0.081,182.921
18.421,2.61e4,15.644,0.081,182.921
18.471,2.61e4,15.644,0.081,182.921
18.521,2.61e4,15.644,0.081,182.921
18.571,2.61e4,15.644,0.081,182.921
18.621,2.61e4,15.644,0.081,182.921
18.671,2.61e4,15.644,0.081,182.921
18.721,2.61e4,15.644,0.081,182.921
18.771,2.61e4,15.644,0.081,182.921
18.821,2.61e4,15.644,0.081,182.921
18.871,2.61e4,15.644,0.081,182.921
18.921,2.61e4,15.644,0.081,182.921
18.971,2.61e4,15.644,0.081,182.921
19.021,2.61e4,15.644,0.081,182.921
19.071,2.61e4,15.644,0.081,182.921
19.121,2.61e4,15.644,0.081,182.921
19.171,2.61e4,15.644,0.081,182.921
19.221,2.61e4,15.644,0.081,182.921
19.271,2.61e4,15.644,0.081,182.921
19.321,2.61e4,15.644,0.081,182.921
19.371,2.61e4,15.644,0.081,182.921
19.421,2.61e4,15.644,0.081,182.921
19.471,2.61e4,15.644,0.081,182.921
19.521,2.61e4,15.644,0.081,182.921
19.571,2.61e4,15.644,0.081,182.921
19.621,2.61e4,15.644,0.081,182.921
19.671,2.61e4,15.644,0.081,182.921
19.721,2.61e4,15.644,0.081,182.921
19.771,2.61e4,15.644,0.081,182.921
19.821,2.61e4,15.644,0.081,182.921
19.871,2.61e4,15.644,0.081,182.921
19.921,2.61e4,15.644,0.081,182.921
19.971,2.61e4,15.644,0.081,182.921
20.021,2.61e4,15.644,0.081,182.921
20.071,2.61e4,15.644,0.081,182.921
20.121,2.61e4,15.644,0.081,182.921
20.171,2.61e4,15.644,0.081,182.921
20.221,2.61e4,15.644,0.081,182.921
20.271,2.61e4,15.644,0.081,182.921
20.321,2.61e4,15.644,0.081,182.921
20.371,2.61e4,15.644,0.081,182.921
20.421,2.61e4,15.644,0.081,182.921
20.471,2.61e4,15.644,0.081,182.921
20.521,2.61e4,15.644,0.081,182.921
20.571,2.61e4,15.644,0.081,182.921
20.621,2.61e4,15.644,0.081,182.921
20.671,2.61e4,15.644,0.081,182.921
20.721,2.61e4,15.644,0.081,182.921
20.771,2.61e4,15.644,0.081,182.921
20.821,2.61e4,15.644,0.081,182.921
20.871,2.61e4,15.644,0.081,182.921
20.921,2.61e4,15.644,0.081,182.921
20.971,2.61e4,15.644,0.081,182.921
21.021,2.61e4,15.644,0.081,182.921
21.071,2.61e4,15.644,0.081,182.921
21.121,2.61e4,15.644,0.081,182.921
21.171,2.61e4,15.644,0.081,182.921
21.221,2.61e4,15.644,0.081,182.921
21.271,2.61e4,15.644,0.081,182.921
21.321,2.61e4,15.644,0.081,182.921
21.371,2.61e4,15.644,0.081,182.921
21.421,2.61e4,15.644,0.081,182.921
21.471,2.61e4,15.644,0.081,182.921
21.521,2.61e4,15.644,0.081,182.921
21.571,2.61e4,15.644,0.081,182.921
21.621,2.61e4,15.644,0.081,182.921
21.671,2.61e4,15.644,0.081,182.921
21.721,2.61e4,15.644,0.081,182.921
21.771,2.61e4,15.644,0.081,182.921
21.821,2.61e4,15.644,0.081,182.921
21.871,2.61e4,15.644,0.081,182.921
21.921,2.61e4,15.644,0.081,182.921
21.971,2.61e4,15.644,0.081,182.921
22.021,2.61e4,15.644,0.081,182.921
22.071,2.61e4,15.644,0.081,182.921
22.121,2.61e4,15.644,0.081,182.921
22.171,2.61e4,15.644,0.081,182.921
22.221,2.61e4,15.644,0.081,182.921
22.271,2.61e4,15.644,0.081,182.921
22.321,2.61e4,15.644,0.081,182.921
22.371,2.61e4,15.644,0.081,182.921
22.421,2.61e4,15.644,0.081,182.921
22.471,2.61e4,15.644,0.081,182.921
22.521,2.61e4,15.644,0.081,182.921
22.571,2.61e4,15.644,0.081,182.921
22.621,2.61e4,15.644,0.081,182.921
22.671,2.61e4,15.644,0.081,182.921
22.721,2.61e4,15.644,0.081,182.921
22.771,2.61e4,15.644,0.081,182.921
22.821,2.61e4,15.644,0.081,182.921
22.871,2.61e4,15.644,0.081,182.921
22.921,2.61e4,15.644,0.081,182.921
22.971,2.61e4,15.644,0.081,182.921
23.021,2.61e4,15.644,0.081,182.921
23.071,2.61e4,15.644,0.081,182.921
23.121,2.61e4,15.644,0.081,182.921
23.171,2.61e4,15.644,0.081,182.921
23.221,2.61e4,15.644,0.081,182.921
23.271,2.61e4,15.644,0.081,182.921
23.321,2.61e4,15.644,0.081,182.921
23.371,2.61e4,15.644,0.081,182.921
23.421,2.61e4,15.644,0.081,182.921
23.471,2.61e4,15.644,0.081,182.921
23.521,2.61e4,15.644,0.081,182.921
23.571,2.61e4,15.644,0.081,182.921
23.621,2.61e4,15.644,0.081,182.921
23.671,2.61e4,15.644,0.081,182.921
23.721,2.61e4,15.644,0.081,182.921
23.771,2.61e4,15.644,0.081,182.921
23.821,2.61e4,15.644,0.081,182.921
23.871,2.61e4,15.644,0.081,182.921
23.921,2.61e4,15.644,0.081,182.921
23.971,2.61e4,15.644,0.081,182.921
24.021,2.61e4,15.644,0.081,182.921
24.071,2.61e4,15.644,0.081,182.921
24.121,2.61e4,15.644,0.081,182.921
24.171,2.61e4,15.644,0.081,182.921
24.221,2.61e4,15.644,0.081,182.921
24.271,2.61e4,15.644,0.081,182.921
24.321,2.61e4,15.644,0.081,182.921
24.371,2.61e4,15.644,0.081,182.921
24.421,2.61e4,15.644,0.081,182.921
24.471,2.61e4,15.644,0.081,182.921
24.521,2.61e4,15.644,0.081,182.921
24.571,2.61e4,15.644,0.081,182.921
24.621,2.61e4,15.644,0.081,182.921
24.671,2.61e4,15.644,0.081,182.921
24.721,2.61e4,15.644,0.081,182.921
24.771,2.61e4,15.644,0.081,182.921
24.821,2.61e4,15.644,0.081,182.921
24.871,2.61e4,15.644,0.081,182.921
24.921,2.61e4,15.644,0.081,182.921
24.971,2.61e4,15.644,0.081,182.921
25.021,2.61e4,15.644,0.081,182.921
25.071,2.61e4,15.644,0.081,182.921
25.121,2.61e4,15.644,0.081,182.921
25.171,2.61e4,15.644,0.081,182.921
25.221,2.61e4,15.644,0.081,182.921
25.271,2.61e4,15.644,0.081,182.921
25.321,2.61e4,15.644,0.081,182.921
25.371,2.61e4,15.644,0.081,182.921
25.421,2.61e4,15.644,0.081,182.921
25.471,2.61e4,15.644,0.081,182.921
25.521,2.61e4,15.644,0.081,182.921
25.571,2.61e4,15.644,0.081,182.921
25.621,2.61e4,15.644,0.081,182.921
25.671,2.61e4,15.644,0.081,182.921
25.721,2.61e4,15.644,0.081,182.921
25.771,2.61e4,15.644,0.081,182.921
25.821,2.61e4,15.644,0.081,182.921
25.871,2.61e4,15.644,0.081,182.921
25.921,2.61e4,15.644,0.081,182.921
25.971,2.61e4,15.644,0.081,182.921
26.021,2.61e4,15.644,0.081,182.921
26.071,2.61e4,15.644,0.081,182.921
26.121,2.61e4,15.644,0.081,182.921
26.171,2.61e4,15.644,0.081,182.921
26.221,2.61e4,15.644,0.081,182.921
26.271,2.61e4,15.644,0.081,182.921
26.321,2.61e4,15.644,0.081,182.921
26.371,2.61e4,15.644,0.081,182.921
26.421,2.61e4,15.644,0.081,182.921
26.471,2.61e4,15.644,0.081,182.921
26.521,2.61e4,15.644,0.081,182.921
26.571,2.61e4,15.644,0.081,182.921
26.621,2.61e4,15.644,0.081,182.921
26.671,2.61e4,15.644,0.081,182.921
26.721,2.61e4,15.644,0.081,182.921
26.771,2.61e4,15.644,0.081,182.921
26.821,2.61e4,15.644,0.081,182.921
26.871,2.61e4,15.644,0.081,182.921
26.921,2.61e4,15.644,0.081,182.921
26.971,2.61e4,15.644,0.081,182.921
27.021,2.61e4,15.644,0.081,182.921
# Event APOGEE occurred at t=27.071 seconds
27.071,2.61e4,15.644,0.081,182.921
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.072 seconds
