# Simulation 2 (Up to date)
# 361 data points written for 4 variables.
#
# Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
# Event GROUND_HIT occurred at t=49.926 seconds
# Event SIMULATION_END occurred at t=49.926 seconds
2283.557,0.115,0.004,37.014
